地名,センター,生活ごみ,缶・びん,ペットボトル,プラ容器包装,小型金属,古紙類
浅香山町1から3丁,東工場,月 木,水2 水4,水1 水3,土,木2,
旭ヶ丘北町1から5丁,東工場,水 土,火1 火3,火2 火4,金,土2,
旭ヶ丘中町1から4丁,東工場,水 土,火1 火3,火2 火4,金,土2,
旭ヶ丘南町1から4丁,東工場,水 土,火1 火3,火2 火4,金,土2,
旭通1から2街区,東工場,水 土,火1 火3,火2 火4,金,土2,
旭通3街区,東工場,水 土,木1 木3,木2 木4,月,火2,
綾之町西1から3丁,東工場,月 木,水2 水4,水1 水3,土,木2,
綾之町東1から2丁,東工場,水 土,金2 金4,金1 金3,火,土2,
石津北町,東工場,月 木,火1 火3,火2 火4,金,土2,
石津町1丁から4丁,東工場,月 木,火1 火3,火2 火4,金,土2,
一条通1､3､5､7､9､11､13､15､17､19街区,東工場,水 土,木1 木3,木2 木4,月,火2,
一条通2､4､6､8､10街区,東工場,水 土,火1 火3,火2 火4,金,土2,
一条通12､14､16､18､20街区,東工場,水 土,木1 木3,木2 木4,月,火2,
市之町西1から3丁,東工場,火 金,月2 月4,月1 月3,木,火2,
市之町東1から6丁,東工場,月 木,金2 金4,金1 金3,火,土2,
今池町1から6丁,東工場,月 木,水2 水4,水1 水3,土,木2,
永代町1から2丁,東工場,水 土,火1 火3,火2 火4,金,土2,
永代町3丁から6丁,東工場,水 土,木1 木3,木2 木4,月,火2,
榎元町1から6丁,東工場,水 土,木1 木3,木2 木4,月,火2,
戎島町1から5丁,東工場,火 金,月2 月4,月1 月3,木,火2,
戎之町西1から2丁,東工場,火 金,月2 月4,月1 月3,木,火2,
戎之町東1から5丁,東工場,月 木,金2 金4,金1 金3,火,土2,
老松町1から3丁,東工場,火 金,土1 土3,土2 土4,水,木2,
大町西1から3丁,東工場,火 金,月2 月4,月1 月3,木,火2,
大町東1から4丁,東工場,月 木,金2 金4,金1 金3,火,土2,
大浜北町1から2丁、3丁3から12街区、4丁3から5街区,東工場,火 金,土1 土3,土2 土4,水,木2,
大浜北町3丁1から2街区、4丁1から2街区、5丁,東工場,火 金,月2 月4,月1 月3,木,火2,
大浜中町1から3丁,東工場,火 金,土1 土3,土2 土4,水,木2,
大浜西町,東工場,火 金,土1 土3,土2 土4,水,木2,
大浜南町1から3丁,東工場,火 金,土1 土3,土2 土4,水,木2,
翁橋町1から2丁,東工場,水 土,木1 木3,木2 木4,月,火2,
遠里小野町1から4丁,東工場,月 木,水2 水4,水1 水3,土,木2,
海山町1から7丁,東工場,火 金,月2 月4,月1 月3,木,火2,
甲斐町西1から3丁,東工場,火 金,月2 月4,月1 月3,木,火2,
甲斐町東1から6丁,東工場,月 木,金2 金4,金1 金3,火,土2,
香ヶ丘町1から5丁,東工場,月 木,水2 水4,水1 水3,土,木2,
柏木町1から4丁,東工場,火 金,土1 土3,土2 土4,水,木2,
春日通1から4丁,東工場,火 金,土1 土3,土2 土4,水,木2,
霞ヶ丘町1から4丁,東工場,月 木,火1 火3,火2 火4,金,土2,
神石市之町,東工場,月 木,火1 火3,火2 火4,金,土2,
神南辺町1から6丁,東工場,火 金,月2 月4,月1 月3,木,火2,
北瓦町1から2丁,東工場,月 木,金2 金4,金1 金3,火,土2,
北向陽町1から2丁,東工場,水 土,金2 金4,金1 金3,火,土2,
北清水町1から3丁,東工場,月 木,水2 水4,水1 水3,土,木2,
北庄町1から3丁,東工場,月 木,水2 水4,水1 水3,土,木2,
北田出井町1から3丁,東工場,月 木,金2 金4,金1 金3,火,土2,
北旅籠町西1から3丁,東工場,月 木,水2 水4,水1 水3,土,木2,
北旅籠町東1から2丁,東工場,水 土,金2 金4,金1 金3,火,土2,
北波止町,東工場,火 金,月2 月4,月1 月3,木,火2,
北花田口町1から3丁,東工場,月 木,金2 金4,金1 金3,火,土2,
北半町西,東工場,月 木,水2 水4,水1 水3,土,木2,
北半町東,東工場,水 土,金2 金4,金1 金3,火,土2,
北丸保園,東工場,水 土,木1 木3,木2 木4,月,火2,
北三国ヶ丘町1から8丁,東工場,月 木,金2 金4,金1 金3,火,土2,
北安井町,東工場,水 土,木1 木3,木2 木4,月,火2,
京町通1から2街区,東工場,水 土,火1 火3,火2 火4,金,土2,
京町通3から4街区,東工場,水 土,木1 木3,木2 木4,月,火2,
協和町1から5丁,東工場,火 金,木1 木3,木2 木4,月,火2,
錦綾町1から3丁,東工場,月 木,水2 水4,水1 水3,土,木2,
九間町西1から3丁,東工場,月 木,水2 水4,水1 水3,土,木2,
九間町東1から3丁,東工場,水 土,金2 金4,金1 金3,火,土2,
櫛屋町西1丁,東工場,火 金,月2 月4,月1 月3,木,火2,
櫛屋町東1から4丁,東工場,月 木,金2 金4,金1 金3,火,土2,
楠町1から4丁,東工場,火 金,土1 土3,土2 土4,水,木2,
熊野町西1から3丁,東工場,火 金,月2 月4,月1 月3,木,火2,
熊野町東1から5丁,東工場,月 木,金2 金4,金1 金3,火,土2,
車之町西1から3丁,東工場,月 木,水2 水4,水1 水3,土,木2,
車之町東1から3丁,東工場,水 土,金2 金4,金1 金3,火,土2,
向陵中町1から6丁,東工場,水 土,木1 木3,木2 木4,月,火2,
向陵西町1丁、2丁1から7街区、3から4丁,東工場,水 土,木1 木3,木2 木4,月,火2,
向陵西町2丁8街区,東工場,月 木,金2 金4,金1 金3,火,土2,
